canonical_drug	drug_aro_accession	canonical_class	class_aro_accession	source
narasin	ARO:3007471	ionophore with antibiotic activity		aro_obo
nigericin	ARO:3007485	ionophore with antibiotic activity		aro_obo
pyrrolomycin a	ARO:3007616	ionophore with antibiotic activity		aro_obo
pyrrolomycin antibiotic	ARO:3007615	ionophore with antibiotic activity		aro_obo
pyrrolomycin b	ARO:3007617	ionophore with antibiotic activity		aro_obo
pyrrolomycin c	ARO:3007618	ionophore with antibiotic activity		aro_obo
pyrrolomycin d	ARO:3007619	ionophore with antibiotic activity		aro_obo
pyrrolomycin e	ARO:3007620	ionophore with antibiotic activity		aro_obo
pyrrolomycin f	ARO:3007621	ionophore with antibiotic activity		aro_obo
pyrrolomycin f2a	ARO:3007622	ionophore with antibiotic activity		aro_obo
pyrrolomycin f2b	ARO:3007623	ionophore with antibiotic activity		aro_obo
pyrrolomycin f3	ARO:3007626	ionophore with antibiotic activity		aro_obo
pyrrolomycin g	ARO:3007624	ionophore with antibiotic activity		aro_obo
pyrrolomycin h	ARO:3007625	ionophore with antibiotic activity		aro_obo
pyrrolomycin i	ARO:3007627	ionophore with antibiotic activity		aro_obo
pyrrolomycin j	ARO:3007628	ionophore with antibiotic activity		aro_obo
salinomycin	ARO:3007547	ionophore with antibiotic activity		aro_obo
tetronomycin	ARO:3007768	ionophore with antibiotic activity		aro_obo
valinomycin	ARO:3007772	ionophore with antibiotic activity		aro_obo
isoniazid	ARO:3000520	isonicotinic acid hydrazide	ARO:3007152	aro_obo
celesticetin	ARO:3001231	lincosamide antibiotic	ARO:0000017	aro_obo
clindamycin	ARO:0000066	lincosamide antibiotic	ARO:0000017	aro_obo
iboxamycin	ARO:3007636	lincosamide antibiotic	ARO:0000017	aro_obo
lincomycin	ARO:0000046	lincosamide antibiotic	ARO:0000017	aro_obo
pirlimycin	ARO:3007169	lincosamide antibiotic	ARO:0000017	aro_obo
arylomycin	ARO:3000685	lipopeptide antibiotic		aro_obo
battacin	ARO:3003822	lipopeptide antibiotic		aro_obo
cadaside a	ARO:3007630	lipopeptide antibiotic		aro_obo
cadaside antibiotic	ARO:3007629	lipopeptide antibiotic		aro_obo
cadaside b	ARO:3007631	lipopeptide antibiotic		aro_obo
colistin	ARO:0000067	lipopeptide antibiotic		aro_obo
colistin a	ARO:3000622	lipopeptide antibiotic		aro_obo
colistin b	ARO:3000624	lipopeptide antibiotic		aro_obo
daptomycin	ARO:0000068	lipopeptide antibiotic		aro_obo
fengycin	ARO:3007758	lipopeptide antibiotic		aro_obo
malacidin a	ARO:3004374	lipopeptide antibiotic		aro_obo
polymyxin antibiotic	ARO:0000022	lipopeptide antibiotic		aro_obo
polymyxin b	ARO:3000454	lipopeptide antibiotic		aro_obo
polymyxin b1	ARO:3000625	lipopeptide antibiotic		aro_obo
polymyxin b2	ARO:3000626	lipopeptide antibiotic		aro_obo
polymyxin b3	ARO:3000627	lipopeptide antibiotic		aro_obo
polymyxin b4	ARO:3000628	lipopeptide antibiotic		aro_obo
ramoplanin	ARO:3004567	lipopeptide antibiotic		aro_obo
fidaxomicin	ARO:3001319	macrocyclic antibiotic		aro_obo
selamectin	ARO:3007689	macrocyclic antibiotic		aro_obo
aplasmomycin	ARO:3007792	macrolide antibiotic	ARO:0000000	aro_obo
azalomycin f	ARO:3007795	macrolide antibiotic	ARO:0000000	aro_obo
azithromycin	ARO:3000158	macrolide antibiotic	ARO:0000000	aro_obo
boromycin	ARO:3007793	macrolide antibiotic	ARO:0000000	aro_obo
brefeldin a	ARO:3009176	macrolide antibiotic	ARO:0000000	aro_obo
carbomycin	ARO:3001228	macrolide antibiotic	ARO:0000000	aro_obo
carrimycin	ARO:3007457	macrolide antibiotic	ARO:0000000	aro_obo
cethromycin	ARO:3007455	macrolide antibiotic	ARO:0000000	aro_obo
chalcomycin	ARO:3001222	macrolide antibiotic	ARO:0000000	aro_obo
clarithromycin	ARO:0000065	macrolide antibiotic	ARO:0000000	aro_obo
dirithromycin	ARO:3000176	macrolide antibiotic	ARO:0000000	aro_obo
erythromycin	ARO:0000006	macrolide antibiotic	ARO:0000000	aro_obo
gamithromycin	ARO:3007761	macrolide antibiotic	ARO:0000000	aro_obo
josamycin	ARO:3001221	macrolide antibiotic	ARO:0000000	aro_obo
kitasamycin	ARO:3001227	macrolide antibiotic	ARO:0000000	aro_obo
marinomycin	ARO:3007763	macrolide antibiotic	ARO:0000000	aro_obo
marinomycin a	ARO:3007764	macrolide antibiotic	ARO:0000000	aro_obo
marinomycin b	ARO:3007765	macrolide antibiotic	ARO:0000000	aro_obo
marinomycin c	ARO:3007766	macrolide antibiotic	ARO:0000000	aro_obo
marinomycin d	ARO:3007767	macrolide antibiotic	ARO:0000000	aro_obo
megalomycin	ARO:3001225	macrolide antibiotic	ARO:0000000	aro_obo
methymycin	ARO:3001232	macrolide antibiotic	ARO:0000000	aro_obo
midecamycin	ARO:3001223	macrolide antibiotic	ARO:0000000	aro_obo
mycaminosyltylonolide	ARO:3007570	macrolide antibiotic	ARO:0000000	aro_obo
mycinamicin	ARO:3001224	macrolide antibiotic	ARO:0000000	aro_obo
narbomycin	ARO:3001226	macrolide antibiotic	ARO:0000000	aro_obo
neutramycin	ARO:3009156	macrolide antibiotic	ARO:0000000	aro_obo
niddamycin	ARO:3001230	macrolide antibiotic	ARO:0000000	aro_obo
oleandomycin	ARO:3000867	macrolide antibiotic	ARO:0000000	aro_obo
pikromycin	ARO:3001233	macrolide antibiotic	ARO:0000000	aro_obo
rokitamycin	ARO:3003701	macrolide antibiotic	ARO:0000000	aro_obo
rosaramicin	ARO:3001229	macrolide antibiotic	ARO:0000000	aro_obo
roxithromycin	ARO:0000027	macrolide antibiotic	ARO:0000000	aro_obo
solithromycin	ARO:3003972	macrolide antibiotic	ARO:0000000	aro_obo
spiramycin	ARO:3000156	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon	ARO:3007786	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon a	ARO:3007787	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon b	ARO:3007788	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon d	ARO:3007789	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon f	ARO:3007790	macrolide antibiotic	ARO:0000000	aro_obo
tartrolon g	ARO:3007791	macrolide antibiotic	ARO:0000000	aro_obo
telithromycin	ARO:0000057	macrolide antibiotic	ARO:0000000	aro_obo
tildipirosin	ARO:3007762	macrolide antibiotic	ARO:0000000	aro_obo
tilmicosin	ARO:3007472	macrolide antibiotic	ARO:0000000	aro_obo
tulathromycin	ARO:3007760	macrolide antibiotic	ARO:0000000	aro_obo
tylosin	ARO:3000145	macrolide antibiotic	ARO:0000000	aro_obo
tylvalosin	ARO:3007796	macrolide antibiotic	ARO:0000000	aro_obo
moenomycin a1	ARO:3000697	moenomycin antibiotic	ARO:3000687	aro_obo
aztreonam	ARO:3000550	monobactam	ARO:0000004	aro_obo
bal30072	ARO:3003821	monobactam	ARO:0000004	aro_obo
carumonam	ARO:3004728	monobactam	ARO:0000004	aro_obo
lys228	ARO:3004729	monobactam	ARO:0000004	aro_obo
mupirocin	ARO:3000554	mupirocin-like antibiotic	ARO:3007151	aro_obo
furazidin	ARO:3007677	nitrofuran antibiotic	ARO:3004116	aro_obo
furazolidone	ARO:3000688	nitrofuran antibiotic	ARO:3004116	aro_obo
nifuratel	ARO:3007685	nitrofuran antibiotic	ARO:3004116	aro_obo
nifuroxazide	ARO:3007655	nitrofuran antibiotic	ARO:3004116	aro_obo
nitrofurantoin	ARO:0000075	nitrofuran antibiotic	ARO:3004116	aro_obo
delamanid	ARO:3004490	nitroimidazole antibiotic	ARO:3004115	aro_obo
metronidazole	ARO:3000689	nitroimidazole antibiotic	ARO:3004115	aro_obo
ornidazole	ARO:3007114	nitroimidazole antibiotic	ARO:3004115	aro_obo
pretomanid	ARO:3007535	nitroimidazole antibiotic	ARO:3004115	aro_obo
tinidazole	ARO:3004026	nitroimidazole antibiotic	ARO:3004115	aro_obo
5-fluorocytosine	ARO:3009160	nucleoside antibiotic	ARO:3000034	aro_obo
a201a	ARO:3007639	nucleoside antibiotic	ARO:3000034	aro_obo
aminonucleoside antibiotic	ARO:3000080	nucleoside antibiotic	ARO:3000034	aro_obo
caprazamycin	ARO:3007479	nucleoside antibiotic	ARO:3000034	aro_obo
cordycepin	ARO:3007139	nucleoside antibiotic	ARO:3000034	aro_obo
pseudouridimycin	ARO:3007481	nucleoside antibiotic	ARO:3000034	aro_obo
puromycin	ARO:0000047	nucleoside antibiotic	ARO:3000034	aro_obo
streptothricin	ARO:0000012	nucleoside antibiotic	ARO:3000034	aro_obo
tunicamycin	ARO:0000009	nucleoside antibiotic	ARO:3000034	aro_obo
zidovudine	ARO:3007687	nucleoside antibiotic	ARO:3000034	aro_obo
nybomycin	ARO:3003780	nybomycin-like antibiotic		aro_obo
avalimycin	ARO:3007168	orthosomycin antibiotic	ARO:3007166	aro_obo
evernimicin	ARO:3007167	orthosomycin antibiotic	ARO:3007166	aro_obo
contezolid	ARO:3007474	oxazolidinone antibiotic	ARO:3000079	aro_obo
linezolid	ARO:0000072	oxazolidinone antibiotic	ARO:3000079	aro_obo
tbi-223	ARO:3007480	oxazolidinone antibiotic	ARO:3000079	aro_obo
tedizolid	ARO:3003897	oxazolidinone antibiotic	ARO:3000079	aro_obo
pactamycin	ARO:3003975	pactamycin-like antibiotic	ARO:3007158	aro_obo
amoxicillin	ARO:0000064	penicillin antibiotic	ARO:3000008	aro_obo
ampicillin	ARO:3000637	penicillin antibiotic	ARO:3000008	aro_obo
aspoxicillin	ARO:3009133	penicillin antibiotic	ARO:3000008	aro_obo
azidocillin	ARO:3009126	penicillin antibiotic	ARO:3000008	aro_obo
azlocillin	ARO:3000638	penicillin antibiotic	ARO:3000008	aro_obo
benzylpenicillin	ARO:3000632	penicillin antibiotic	ARO:3000008	aro_obo
beta-lactamase resistant penicillin	ARO:3009125	penicillin antibiotic	ARO:3000008	aro_obo
beta-lactamase sensitive penicillin	ARO:3009124	penicillin antibiotic	ARO:3000008	aro_obo
carbenicillin	ARO:0000043	penicillin antibiotic	ARO:3000008	aro_obo
clometocillin	ARO:3009129	penicillin antibiotic	ARO:3000008	aro_obo
cloxacillin	ARO:0000011	penicillin antibiotic	ARO:3000008	aro_obo
dicloxacillin	ARO:3000635	penicillin antibiotic	ARO:3000008	aro_obo
epicillin	ARO:3009131	penicillin antibiotic	ARO:3000008	aro_obo
flucloxacillin	ARO:3000636	penicillin antibiotic	ARO:3000008	aro_obo
hetacillin	ARO:3009132	penicillin antibiotic	ARO:3000008	aro_obo
mecillinam	ARO:3000761	penicillin antibiotic	ARO:3000008	aro_obo
methicillin	ARO:0000015	penicillin antibiotic	ARO:3000008	aro_obo
mezlocillin	ARO:3000639	penicillin antibiotic	ARO:3000008	aro_obo
nafcillin	ARO:3004018	penicillin antibiotic	ARO:3000008	aro_obo
oxacillin	ARO:0000056	penicillin antibiotic	ARO:3000008	aro_obo
penamecillin	ARO:3009128	penicillin antibiotic	ARO:3000008	aro_obo
penicillin with extended spectrum	ARO:3009123	penicillin antibiotic	ARO:3000008	aro_obo
phenethicillin	ARO:3009127	penicillin antibiotic	ARO:3000008	aro_obo
phenoxymethylpenicillin	ARO:3000633	penicillin antibiotic	ARO:3000008	aro_obo
piperacillin	ARO:0000078	penicillin antibiotic	ARO:3000008	aro_obo
pivampicillin	ARO:3009130	penicillin antibiotic	ARO:3000008	aro_obo
pivmecillinam	ARO:3007529	penicillin antibiotic	ARO:3000008	aro_obo
propicillin	ARO:3000634	penicillin antibiotic	ARO:3000008	aro_obo
temocillin	ARO:3003831	penicillin antibiotic	ARO:3000008	aro_obo
ticarcillin	ARO:3003832	penicillin antibiotic	ARO:3000008	aro_obo
actinomycin	ARO:3000695	peptide antibiotic	ARO:3000053	aro_obo
albicidin	ARO:3007658	peptide antibiotic	ARO:3000053	aro_obo
bpi	ARO:3004121	peptide antibiotic	ARO:3000053	aro_obo
dactinomycin	ARO:3000696	peptide antibiotic	ARO:3000053	aro_obo
darobactin a	ARO:3007478	peptide antibiotic	ARO:3000053	aro_obo
defensin	ARO:3000693	peptide antibiotic	ARO:3000053	aro_obo
edeine	ARO:3000119	peptide antibiotic	ARO:3000053	aro_obo
edeine a	ARO:3000130	peptide antibiotic	ARO:3000053	aro_obo
edeine b	ARO:3000134	peptide antibiotic	ARO:3000053	aro_obo
edeine d	ARO:3000135	peptide antibiotic	ARO:3000053	aro_obo
edeine f	ARO:3000136	peptide antibiotic	ARO:3000053	aro_obo
enramycin	ARO:3007197	peptide antibiotic	ARO:3000053	aro_obo
epinecidin-1	ARO:3007086	peptide antibiotic	ARO:3000053	aro_obo
formicin	ARO:3003904	peptide antibiotic	ARO:3000053	aro_obo
gramicidin	ARO:3000123	peptide antibiotic	ARO:3000053	aro_obo
gramicidin a	ARO:3000222	peptide antibiotic	ARO:3000053	aro_obo
gramicidin b	ARO:3000223	peptide antibiotic	ARO:3000053	aro_obo
gramicidin c	ARO:3000224	peptide antibiotic	ARO:3000053	aro_obo
gramicidin d	ARO:3000199	peptide antibiotic	ARO:3000053	aro_obo
gramicidin s	ARO:3000200	peptide antibiotic	ARO:3000053	aro_obo
halolitoralin	ARO:3007779	peptide antibiotic	ARO:3000053	aro_obo
halolitoralin a	ARO:3007780	peptide antibiotic	ARO:3000053	aro_obo
halolitoralin b	ARO:3007781	peptide antibiotic	ARO:3000053	aro_obo
halolitoralin c	ARO:3007782	peptide antibiotic	ARO:3000053	aro_obo
klebsidin	ARO:3007093	peptide antibiotic	ARO:3000053	aro_obo
lugdunin	ARO:3003898	peptide antibiotic	ARO:3000053	aro_obo
lysocin	ARO:3003919	peptide antibiotic	ARO:3000053	aro_obo
lysocin e	ARO:3003915	peptide antibiotic	ARO:3000053	aro_obo
macrocyclic peptide antibiotics	ARO:3007783	peptide antibiotic	ARO:3000053	aro_obo
magainin	ARO:3000694	peptide antibiotic	ARO:3000053	aro_obo
magainin 1	ARO:3003571	peptide antibiotic	ARO:3000053	aro_obo
magainin 2	ARO:3003572	peptide antibiotic	ARO:3000053	aro_obo
magainin a	ARO:3003567	peptide antibiotic	ARO:3000053	aro_obo
magainin b	ARO:3003568	peptide antibiotic	ARO:3000053	aro_obo
magainin g	ARO:3003569	peptide antibiotic	ARO:3000053	aro_obo
magainin h	ARO:3003570	peptide antibiotic	ARO:3000053	aro_obo
microcin j25	ARO:3003951	peptide antibiotic	ARO:3000053	aro_obo
mutanobactin	ARO:3007686	peptide antibiotic	ARO:3000053	aro_obo
nocardamine	ARO:3007785	peptide antibiotic	ARO:3000053	aro_obo
oncocin	ARO:3007748	peptide antibiotic	ARO:3000053	aro_obo
teixobactin	ARO:3003241	peptide antibiotic	ARO:3000053	aro_obo
thusin	ARO:3003903	peptide antibiotic	ARO:3000053	aro_obo
viomycin	ARO:0000018	peptide antibiotic	ARO:3000053	aro_obo
zosurabalpin	ARO:3007784	peptide antibiotic	ARO:3000053	aro_obo
azidamfenicol	ARO:3000382	phenicol antibiotic	ARO:3000387	aro_obo
chloramphenicol	ARO:3000385	phenicol antibiotic	ARO:3000387	aro_obo
florfenicol	ARO:3000461	phenicol antibiotic	ARO:3000387	aro_obo
thiamphenicol	ARO:3000456	phenicol antibiotic	ARO:3000387	aro_obo
fosfomycin	ARO:0000025	phosphonic acid antibiotic	ARO:3007149	aro_obo
fosmidomycin	ARO:3000758	phosphonic acid antibiotic	ARO:3007149	aro_obo
azamulin	ARO:3001316	pleuromutilin antibiotic	ARO:3000670	aro_obo
lefamulin	ARO:3004088	pleuromutilin antibiotic	ARO:3000670	aro_obo
pleuromutilin	ARO:3001317	pleuromutilin antibiotic	ARO:3000670	aro_obo
retapamulin	ARO:3001314	pleuromutilin antibiotic	ARO:3000670	aro_obo
tiamulin	ARO:3000671	pleuromutilin antibiotic	ARO:3000670	aro_obo
valnemulin	ARO:3001315	pleuromutilin antibiotic	ARO:3000670	aro_obo
lassomycin	ARO:3004295	rifamycin antibiotic	ARO:3000157	aro_obo
rifabutin	ARO:3000530	rifamycin antibiotic	ARO:3000157	aro_obo
rifalazil	ARO:3004566	rifamycin antibiotic	ARO:3000157	aro_obo
rifampin	ARO:3000169	rifamycin antibiotic	ARO:3000157	aro_obo
rifapentine	ARO:3000534	rifamycin antibiotic	ARO:3000157	aro_obo
rifaximin	ARO:3000517	rifamycin antibiotic	ARO:3000157	aro_obo
tnp-2198	ARO:3007176	rifamycin antibiotic	ARO:3000157	aro_obo
diflunisal	ARO:3007091	salicylic acid antibiotic	ARO:3007159	aro_obo
para-aminosalicylic acid	ARO:3004019	salicylic acid antibiotic	ARO:3007159	aro_obo
dalfopristin	ARO:3000674	streptogramin A antibiotic	ARO:0000034	aro_obo
griseoviridin	ARO:3000673	streptogramin A antibiotic	ARO:0000034	aro_obo
madumycin ii	ARO:3000672	streptogramin A antibiotic	ARO:0000034	aro_obo
virginiamycin m1	ARO:3000669	streptogramin A antibiotic	ARO:0000034	aro_obo
ostreogrycin b3	ARO:3000682	streptogramin B antibiotic	ARO:0000050	aro_obo
patricin a	ARO:3000680	streptogramin B antibiotic	ARO:0000050	aro_obo
patricin b	ARO:3000681	streptogramin B antibiotic	ARO:0000050	aro_obo
pristinamycin ia	ARO:3000583	streptogramin B antibiotic	ARO:0000050	aro_obo
pristinamycin ib	ARO:3000675	streptogramin B antibiotic	ARO:0000050	aro_obo
pristinamycin ic	ARO:3000678	streptogramin B antibiotic	ARO:0000050	aro_obo
quinupristin	ARO:3000584	streptogramin B antibiotic	ARO:0000050	aro_obo
vernamycin c	ARO:3000679	streptogramin B antibiotic	ARO:0000050	aro_obo
virginiamycin s2	ARO:3000677	streptogramin B antibiotic	ARO:0000050	aro_obo
mafenide	ARO:3000684	sulfonamide antibiotic	ARO:3000282	aro_obo
sulfacetamide	ARO:3000683	sulfonamide antibiotic	ARO:3000282	aro_obo
sulfadiazine	ARO:3000324	sulfonamide antibiotic	ARO:3000282	aro_obo
sulfadimidine	ARO:3000325	sulfonamide antibiotic	ARO:3000282	aro_obo
sulfadoxine	ARO:3000327	sulfonamide antibiotic	ARO:3000282	aro_obo
sulfamerazine	ARO:3007469	sulfonamide antibiotic	ARO:3000282	aro_obo
sulfamethizole	ARO:3000699	sulfonamide antibiotic	ARO:3000282	aro_obo
sulfamethoxazole	ARO:3000329	sulfonamide antibiotic	ARO:3000282	aro_obo
sulfanilamide	ARO:3007468	sulfonamide antibiotic	ARO:3000282	aro_obo
sulfasalazine	ARO:3000698	sulfonamide antibiotic	ARO:3000282	aro_obo
sulfisoxazole	ARO:3000330	sulfonamide antibiotic	ARO:3000282	aro_obo
dapsone	ARO:3003412	sulphone antibiotic	ARO:3003401	aro_obo
tetracenomycin a2	ARO:3007037	tetracenomycin antibiotic		aro_obo
tetracenomycin c	ARO:3007035	tetracenomycin antibiotic		aro_obo
tetracenomycin x	ARO:3007036	tetracenomycin antibiotic		aro_obo
chlortetracycline	ARO:3000528	tetracycline antibiotic	ARO:3000050	aro_obo
demeclocycline	ARO:3000667	tetracycline antibiotic	ARO:3000050	aro_obo
doxycycline	ARO:0000069	tetracycline antibiotic	ARO:3000050	aro_obo
eravacycline	ARO:3003979	tetracycline antibiotic	ARO:3000050	aro_obo
minocycline	ARO:3000152	tetracycline antibiotic	ARO:3000050	aro_obo
omadacycline	ARO:3003936	tetracycline antibiotic	ARO:3000050	aro_obo
oxytetracycline	ARO:3000668	tetracycline antibiotic	ARO:3000050	aro_obo
sarecycline	ARO:3007025	tetracycline antibiotic	ARO:3000050	aro_obo
tetracycline	ARO:0000051	tetracycline antibiotic	ARO:3000050	aro_obo
ethionamide	ARO:3003474	thioamide antibiotic	ARO:3007156	aro_obo
prothionamide	ARO:3004025	thioamide antibiotic	ARO:3007156	aro_obo
perchlozone	ARO:3005175	thiosemicarbazone antibiotic	ARO:3007161	aro_obo
thioacetazone	ARO:3004952	thiosemicarbazone antibiotic	ARO:3007161	aro_obo
gepotidacin	ARO:3007092	triazaacenaphthylene antibiotic		aro_obo
zoliflodacin	ARO:3004858	zoliflodacin-like antibiotic	ARO:3007160	aro_obo
